file_tag,test_no,sample,bends,primary_position,frequency,temperature,material,stress_indicator,pressure,bend_to_break,break_location,prim_sec_amp,prim_sec_phi,prim_rec_amp,prim_rec_phi,sec_rec_amp,sec_rec_phi,sec_harm_db,rec_harm_db
20180418-0081,81,TU20180418-02,285.0,12.0,100,25.0,SS_304,M,2510,365.0,7.5,0.00140963358593234,0.26057022637880367,0.0005012076290260301,-2.8248643359829764,0.35555880196663187,-3.08543456236178,-32.21232055288554,-22.400682700881834
20180418-0081,81,TU20180418-02,285.0,12.0,100,25.0,SS_304,M,2510,365.0,7.5,0.0014094578423867533,0.2605709781138022,0.0005010556042027295,-2.824977942499751,0.35549527565453826,-3.0855489206135536,-32.21982714236648,-22.409439560446547
20180418-0082,82,TU20180418-02,285.0,9.0,100,25.0,SS_304,M,2510,365.0,7.5,0.001656912972138639,0.2826772841987345,0.0003056383000738657,-2.855147209536061,0.1844624945384832,-3.137824493734796,-35.47003915245242,-26.702996413174578
20180418-0082,82,TU20180418-02,285.0,9.0,100,25.0,SS_304,M,2510,365.0,7.5,0.0016568079765216731,0.28261379939086045,0.0003056300973663076,-2.85507539539358,0.18446923342797508,-3.13768919478444,-35.435114886939104,-26.68976283251557
20180418-0083,83,TU20180418-02,285.0,7.5,100,25.0,SS_304,M,2510,365.0,7.5,0.0015913111854886244,0.2724853355091784,0.00021983482343374144,-2.892487509318976,0.1381469730361001,3.1182124623514325,-35.24945214739418,-29.12881276005937
20180418-0083,83,TU20180418-02,285.0,7.5,100,25.0,SS_304,M,2510,365.0,7.5,0.0015911076758009187,0.2724805708636223,0.00021982785181251893,-2.8922686718653035,0.13816026102813173,3.118436064450661,-35.23712014354639,-29.14096549084792
20180418-0084,84,TU20180418-02,285.0,6.0,100,25.0,SS_304,M,2510,365.0,7.5,0.0013479586679827902,0.23929062854201244,0.00015698830477138767,-2.959534714170684,0.11646373772448042,3.08435996446689,-33.08764744197507,-35.62746034883305
20180418-0084,84,TU20180418-02,285.0,6.0,100,25.0,SS_304,M,2510,365.0,7.5,0.0013479953133505853,0.2392262169295707,0.00015700930020456382,-2.9595985156899536,0.11647614694913185,3.084360574560062,-33.05355377357246,-35.57656404738067
20180418-0085,85,TU20180418-02,285.0,4.5,100,25.0,SS_304,M,2510,365.0,7.5,0.0009797268289187784,0.17225099461335341,0.0001136158387587284,-3.038749083009839,0.11596685464264998,3.072185229556394,-32.352943483443724,-37.49382805231249
20180418-0085,85,TU20180418-02,285.0,4.5,100,25.0,SS_304,M,2510,365.0,7.5,0.0009797394377220282,0.1722154165027571,0.00011366649399613014,-3.0391441480405237,0.11601706496618502,3.071825742636306,-32.35286986365939,-37.414240531187446
